County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Dutchess,Red Hook Vg PD,2004,0,,,,,,,,,,,Non-New York City
Steuben,Steuben County Sheriff,2017,12,115,23,0,8,0,15,92,25,64,3,Non-New York City
Nassau,Lynbrook Vg PD,2015,12,159,11,0,1,3,7,148,20,119,9,Non-New York City
Schoharie,Schoharie PCT (NYC-DEPP),2003,0,,,,,,,,,,,Non-New York City
Chautauqua,Chautauqua County Sheriff,2016,12,642,51,0,17,6,28,591,182,387,22,Non-New York City
Chautauqua,County Total,2016,,3327,356,4,84,65,203,2971,727,2139,105,Non-New York City
Erie,Erie County Sheriff,2015,12,934,77,0,2,12,63,857,189,646,22,Non-New York City
Suffolk,Suffolk County PD,2012,12,24216,1785,23,37,681,1044,22431,3699,17686,1046,Non-New York City
Franklin,Franklin County State Police,2015,12,411,50,0,36,1,13,361,84,268,9,Non-New York City
Westchester,Croton-Kensico PCT (NYC-DEPP),2011,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Suffolk,East Hampton Town PD,2014,12,294,7,0,1,0,6,287,39,244,4,Non-New York City
St Lawrence,Norfolk Town PD,2015,12,6,3,0,0,0,3,3,0,3,0,Non-New York City
Orange,County Total,2016,,7313,904,11,132,234,527,6409,774,5438,197,Non-New York City
Otsego,Oneonta City PD,2017,12,261,27,1,7,2,17,234,50,183,1,Non-New York City
Onondaga,Jordan Vg PD,2015,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Chemung,Elmira Heights Vg PD,2015,12,63,3,0,1,1,1,60,13,46,1,Non-New York City
Sullivan,Liberty Vg PD,2014,12,239,17,0,2,4,11,222,39,177,6,Non-New York City
Ontario,Canandaigua City PD,2017,12,242,34,1,11,1,21,208,36,167,5,Non-New York City
Albany,Colonie Town PD,2015,12,2057,74,1,3,28,42,1983,201,1745,37,Non-New York City
Columbia,Greenport Town PD,2014,12,172,1,0,0,0,1,171,5,164,2,Non-New York City
Nassau,Long Beach City PD,1997,,787,67,1,1,34,31,720,83,519,118,Non-New York City
Dutchess,County Total,2009,,6095,909,4,35,282,588,5186,881,4137,168,Non-New York City
Westchester,County Total,2006,,17678,2768,20,83,1364,1301,14910,2202,11621,1087,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2010,12,8,0,0,0,0,0,8,2,6,0,Non-New York City
Erie,Eden Town PD,1992,,161,13,0,0,1,12,148,40,101,7,Non-New York City
Suffolk,Northport Vg PD,1991,,214,11,0,1,1,9,203,47,145,11,Non-New York City
Erie,County Total,2010,,32568,4528,62,234,1684,2548,28040,6534,19672,1834,Non-New York City
Onondaga,Cicero Town PD,2008,12,492,10,0,1,4,5,482,65,404,13,Non-New York City
Genesee,LeRoy Vg PD,1998,,133,6,0,0,0,6,127,11,108,8,Non-New York City
Westchester,Buchanan Vg PD,1997,,51,1,0,0,0,1,50,12,35,3,Non-New York City
Westchester,New Castle Town PD,2000,,148,15,0,0,1,14,133,7,112,14,Non-New York City
Erie,Eden Town PD,2005,12,69,0,0,0,0,0,69,21,46,2,Non-New York City
Erie,Buffalo City PD,2010,12,18352,3599,55,157,1466,1921,14753,4296,9027,1430,Non-New York City
Orange,Orange County Park PD,1993,,20,2,0,2,0,0,18,6,12,0,Non-New York City
Lewis,Lewis County Sheriff,2009,12,200,11,1,2,2,6,189,75,106,8,Non-New York City
Niagara,North Tonawanda City PD,1996,,858,24,0,0,12,12,834,147,651,36,Non-New York City
Livingston,Geneseo Vg PD,2013,12,168,6,0,3,3,0,162,7,155,0,Non-New York City
Rensselaer,Rensselaer Poly Tech Police,1998,,238,1,0,1,0,0,237,48,188,1,Non-New York City
Washington,Fort Edward Vg PD,2003,10,97,13,0,2,1,10,84,8,74,2,Non-New York City
Hamilton,Hamilton County State Police,1996,,66,8,0,0,0,8,58,25,31,2,Non-New York City
Region Total,Region Total,1999,,299909,78971,671,1702,36108,40490,220938,40469,140771,39698,New York City
Wayne,Wayne County State Police,2001,,495,37,0,5,2,30,458,116,310,32,Non-New York City
Saratoga,Waterford Town and Vg PD,2002,12,111,0,0,0,0,0,111,23,81,7,Non-New York City
Dutchess,Pine Plains Town PD,2012,12,11,0,0,0,0,0,11,4,7,0,Non-New York City
Allegany,Allegany County State Police,2001,,348,59,0,3,1,55,289,104,171,14,Non-New York City
Erie,Erie County (RR-NS),1999,,26,0,0,0,0,0,26,15,6,5,Non-New York City
Rockland,Haverstraw Vg PD,2001,,212,57,1,0,8,48,155,38,102,15,Non-New York City
Hamilton,County Total,2010,,52,4,0,1,1,2,48,17,29,2,Non-New York City
Essex,County Total,2007,,540,80,0,11,1,68,460,122,317,21,Non-New York City
Onondaga,Onondaga County Park PD,2017,12,17,0,0,0,0,0,17,0,17,0,Non-New York City
Herkimer,Frankfort Vg PD,1991,,79,8,0,0,4,4,71,27,44,0,Non-New York City
Cayuga,County Total,2001,,1906,177,1,15,19,142,1729,306,1380,43,Non-New York City
Hamilton,County Total,2002,,110,7,0,0,0,7,103,27,69,7,Non-New York City
Westchester,Mamaroneck Town PD,2000,,220,6,0,0,3,3,214,35,138,41,Non-New York City
Steuben,County Total,2003,,1516,126,0,34,19,73,1390,259,1083,48,Non-New York City
Ulster,Kingston City PD,2005,12,1208,117,0,11,72,34,1091,114,928,49,Non-New York City
Erie,Erie County State Police,1993,,741,79,1,2,5,71,662,172,442,48,Non-New York City
Putnam,Cold Spring Vg PD,1990,,49,8,0,0,0,8,41,4,36,1,Non-New York City
Montgomery,Canajoharie Vg PD,1999,,30,6,0,0,0,6,24,9,14,1,Non-New York City
Greene,Athens Vg PD,2006,12,3,1,0,0,0,1,2,1,1,0,Non-New York City
Westchester,Greenburgh Town PD,1996,,1409,75,2,4,39,30,1334,171,982,181,Non-New York City
Rockland,Rockland County Sheriff,2005,12,45,13,0,0,1,12,32,0,32,0,Non-New York City
Westchester,Tarrytown Vg PD,1990,,298,11,0,1,3,7,287,38,221,28,Non-New York City
Essex,Ticonderoga Town PD,2009,12,84,11,0,2,1,8,73,19,51,3,Non-New York City
Seneca,Seneca County Park PD,1995,,33,0,0,0,0,0,33,8,25,0,Non-New York City
Broome,Broome County State Police,2014,12,598,40,1,10,6,23,558,106,437,15,Non-New York City
Dutchess,Northeast T and Millerton V PD,1994,,5,0,0,0,0,0,5,0,5,0,Non-New York City
Orange,Maybrook Vg PD,2005,12,37,3,0,0,1,2,34,7,25,2,Non-New York City
